statistic,value
weekday_male_work,7.9043741550189095
weekday_female_work,7.005922034712528
weekend_male_work,2.1628038239093987
weekend_female_work,1.4142957982009157
weekday_male_hhcare,0.820548438260529
weekday_female_hhcare,1.2567915118431903
weekend_male_hhcare,1.002367139258399
weekend_female_hhcare,1.2666977812996028
