model,estimate,se,nobs
1,0.43624307358266046,0.027570166810381,12113
2,0.2643306420412049,0.03319359837820207,12344
3,0.43598546071493954,0.027572228298482774,12113
4,0.3492883993127995,0.026952131898863724,12113
5,0.31945732465675597,0.027185766164324963,12113
6,0.265632143543734,0.03267239091942549,8393
