model,estimate,se,nobs
1,-0.8984521203063808,0.06940539743122372,12113
2,-0.748508025708485,0.067427783592811,12344
3,-0.9010522716723882,0.06924617467039164,12113
4,-0.9105761422098725,0.07019587303431506,12113
5,-0.7033718549552772,0.0697952189639261,12113
6,-0.4895378565765033,0.07682016872614056,8393
