statistic,V1,V2
Agg Gender Gap,1.0257874808484566,1.0257874808484566
Gender Gap by Occ,1.0470522031752372,1.0047601746735062
Ratio 8to5,0.5989368089543909,0.5096171160160091
Share Females,0.4999763177240055,0.5000234178683645
Percent Workers,0.49719313354973615,0.5028068664502638
Earnings,0.40493326299956545,0.3959417516757556
Raw Labor,0.8137292749031932,0.8137206552825956
Eff Labor,0.7959492696568681,0.8023880335339187
