statistic,V1,V2
Gender Gap,1.031298424482378,1.031298424482378
Gender Gap Occ2,1.0047637558040532,1.0047637558040532
Share of Workers,0.4366684480026401,0.5633315519973598
Ratio 8to5,0.5451418052640664,0.516384306343873
Earnings,0.4586401017312899,0.3555164994836217
Rawlabor by occ,0.9098702430369999,0.729595505993722
Eff Labor by Occ,0.8978219445187794,0.7264430302057382
Share females,0.0,0.887576771134494
