statistic,V1,V2
Share of Workers,0.47926496578802946,0.5207350342119705
Ratio 8to5,0.5945592817618875,0.5059008877080732
Earnings,0.41631026572887186,0.3831563312521121
Rawlabor by occ,0.822603640560482,0.803223234311611
Eff Labor by Occ,0.7956655311218224,0.8019043573113463
